Video: Instance and user setup (10)	Video checkpoint 1: AWS console visible with account ID, SSH login shown, dedicated `minecraft` user existence proven (e.g., `id minecraft`).	false	10	Complete	All three elements clearly shown in the video.	5	Partial	One element is missing or unclear.	0	Missing	Two or more elements are missing or not visible.
Video: Post-reboot nmap verification (15)	Video checkpoint 2: instance is rebooted, then `nmap -sV -Pn -p T:25565 <public-ip>` output shows port open and Minecraft service responding with custom MOTD containing name or student ID. Server port can differ from default.	false	15	Complete	Reboot shown or evidenced, nmap output shows 25565/tcp open with Minecraft service and custom MOTD. Server port can differ from default.	8	Partial	Reboot or nmap shown but one detail is weak (e.g., MOTD missing name, incomplete output, timing unclear).	0	Missing	No credible post-reboot nmap verification shown.
Video: Auto-start confirmation (10)	Video checkpoint 3: after reboot, `systemctl status` (or equivalent) confirms the service is active and enabled; uptime/PID is consistent with a post-reboot start.	false	10	Complete	Service shown active and enabled after reboot with consistent uptime.	5	Partial	Status shown but enabled state or post-reboot timing not clearly evidenced.	0	Missing	No auto-start evidence after reboot.
Video: Stop/start cycle (10)	Video checkpoint 4: service is stopped, status confirms it is stopped, service is restarted, and health is confirmed (e.g., nmap, status, or log output).	false	10	Complete	Full stop/start cycle with health confirmation clearly shown.	5	Partial	Cycle shown but health confirmation missing or unclear.	0	Missing	No stop/start cycle demonstrated.
Runbook: Reproducible setup tutorial (20)	Runbook walks through every step from a fresh EC2 instance to a running Minecraft service: instance creation, OS user setup, Java/runtime installation, server files, process manager configuration, and first successful start.	false	20	Exemplary	All required steps present, correctly ordered, and specific enough that a new operator could follow without guesswork.	15	Proficient	Most steps present and usable; minor gaps (e.g., a missing flag or ambiguous path) that would not block setup.	8	Developing	Several steps missing or unclear; substantial inference required to complete setup.	0	Insufficient	Instructions are incomplete, incorrect, or not reproducible.
Runbook: Security posture (15)	Three controls documented: (1) dedicated `minecraft` OS user, (2) SSH restricted to specific IPs (not 0.0.0.0/0) or restriction strategy justified, (3) only ports 22 and 25565 open inbound. Server port can differ from default.	false	15	All controls	All three security controls documented and correctly configured.	10	Two controls	Two of three controls present and correct.	5	One control	Only one control present or major misconfiguration in multiple controls.	0	No controls	Security configuration missing or not evidenced.
Runbook: Operations procedures (10)	Four operational items documented: (1) start/stop/restart commands, (2) health-check method, (3) log location with example of healthy output, (4) safe update procedure.	false	10	All items	All four operational procedures documented clearly with expected outputs.	7.5	Three items	Three of four items present and usable.	5	Two items	Two of four items present.	0	Insufficient	One or zero items documented.
Runbook: Cost-control strategy (10)	Cost strategy includes: (1) instance size choice with rationale, (2) stop/shutdown schedule, (3) at least one guardrail (e.g., billing alert, lab session discipline, terminate when done).	false	10	Complete	All three elements present and realistic.	7	Mostly complete	Two of three elements present or one element is vague.	4	Partial	Only one element present or strategy is generic.	0	Missing	Cost-control strategy absent or not actionable.
